"Stop","Daily On","Daily Off","Daily Load","Owl On","Owl Off","Owl Load"
"3rd St&4th St SW-FS/BZ","0","0","98","0","0","98"
"1730 3rd St NW-NS","0","0","98","0","0","98"
"3rd St&16th St SW-FS/BZ","0","0","98","0","0","98"
"3rd St&18th St SW-FS/BZ","3","0","101","3","0","101"
"3rd St&20th St NW-NS/BZ","5","2","104","5","2","104"
"3rd St&22nd St NW-NS/BZ","1","2","103","1","2","103"
"3rd St&23rd St SW-FS/BZ","0","0","103","0","0","103"
"3rd St&25th St SW-FS/BZ","1","0","104","1","0","104"
"3rd St&Cesar Chavez St NW-NS/BZ","0","2","102","0","2","102"
"Cargo Way&3rd St SE-FS","0","5","97","0","5","97"
"Cargo Way&Mendell St W-NS","0","0","97","0","0","97"
"Mendell St&Newhall St NW-NS","0","0","97","0","0","97"
"US Post Office N-NS","0","4","93","0","4","93"
"Evans Ave&Newhall St E-NS/BZ","7","13","87","7","13","87"
"3rd St&Evans Ave SW-FS/BZ","4","0","91","4","0","91"
"3rd St&Galvez Ave SW-FS/BZ","0","0","91","0","0","91"
"3rd St&Innes Ave SW-FS/BZ","0","0","91","0","0","91"
"3rd St&Mckinnon Ave NW-NS/BZ","0","1","90","0","1","90"
"3rd St&Palou Ave NW-NS/BZ","2","3","89","2","3","89"
"3rd St&Bayview St SW-FS/BZ","1","1","89","1","1","89"
"3rd St&Thornton Ave SW-FS/BZ","2","1","90","2","1","90"
"3rd St&Williams SW-FS","7","23","74","7","23","74"
"3rd St&Yosemite Ave N-NS/BZ","0","5","69","0","5","69"
"3rd St&Carroll Ave N-NS/BZ","0","1","68","0","1","68"
"3rd St&Egbert Ave N-NS/BZ","0","1","67","0","1","67"
"3rd St&Paul Ave NW-NS/BZ","0","2","65","0","2","65"
"3rd St&Salinas Ave NW-NS/BZ","3","2","66","3","2","66"
"Bay Shore Blvd&Campbell Ave SW-FS","0","0","66","0","0","66"
"Bay Shore Blvd&Tunnel Ave W-FS/BZ","0","0","66","0","0","66"
"Bay Shore Blvd&Arleta Ave W-FS","6","2","70","6","2","70"
"Bay Shore Blvd&Leland Ave W-FS","0","0","70","0","0","70"
"Visitacion Ave&Bay Shore Blvd N-FS","1","2","69","1","2","69"
"Visitacion Ave&Rutland St E-NS","4","1","72","4","1","72"
"Visitacion Ave&Schwerin St E-NS","7","1","78","7","1","78"
"Visitacion Ave&Britton St E-NS","2","0","80","2","0","80"
"Visitacion Ave&Sawyer St E-NS","2","3","79","2","3","79"
"Hahn St&Visitacion Ave SW-FS","0","0","79","0","0","79"
"Hahn St&Sunnydale Ave N-NS","5","3","81","5","3","81"
"Sunnydale Ave&Santos St NE-NS","1","1","81","1","1","81"
"Santos St&Brookdale Ave SW-FS","1","1","81","1","1","81"
"Santos St&Velasco Ave N-NS","6","0","87","6","0","87"
"Geneva Ave&Santos St N-FS/BZ","6","3","90","6","3","90"
"Geneva Ave&Carter St NE-NS/BZ","4","1","93","4","1","93"
"1721 Geneva Ave NE-MB","2","0","95","2","0","95"
"1650 Geneva Ave N-FS","0","0","95","0","0","95"
"Geneva Ave&Prague St E-NS/BZ","0","3","92","0","3","92"
"Geneva Ave&Moscow St N-FS/BZ","3","1","94","3","1","94"
"Geneva Ave&Naples St E-NS/BZ","1","4","91","1","4","91"
"Geneva Ave&Madrid St N-FS/BZ","7","0","98","7","0","98"
"Geneva Ave&Paris St E-NS","2","0","100","2","0","100"
"Geneva Ave&Mission St E-NS","14","20","94","14","20","94"
"Geneva Ave&Cayuga Ave E-NS/BZ","1","2","93","1","2","93"
"Geneva Ave&Delano Ave N-FS/BZ","0","0","93","0","0","93"
"Geneva Ave&San Jose Ave NW-FS/BZ","6","70","30","6","70","30"
"Geneva Ave&Howth St E-NS/BZ","0","1","29","0","1","29"
"Ocean Ave&Lee St NE-NS/SI","4","9","24","4","9","24"
"Ocean Ave&Miramar Ave NE-NS/SI","2","1","25","2","1","25"
"Ocean Ave&Dorado Ter NE-NS/SI","3","0","28","3","0","28"
"Ocean Ave&Fairfield Way NW-FS/SI","3","3","28","3","3","28"
"Ocean Ave&Westgate Dr E-NS/SI","0","1","27","0","1","27"
"Ocean Ave&Aptos Ave E-NS/SI","0","0","27","0","0","27"
"Ocean Ave&San Leandro Way E-NS/SI","1","0","28","1","0","28"
"Junipero Serra Blvd & Ocean Ave NE","0","0","28","0","0","28"
"Saint Francis Circle NE-FS/SI","2","3","27","2","3","27"
"West Portal Ave&14th Ave S-NS/SI","1","2","26","1","2","26"
"West Portal Ave&Ulloa St NW-FS","0","14","12","0","14","12"
"Total Passenger Boardings ","358","356",,"358","356",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,
"Stop","Daily On","Daily Off","Daily Load","Owl On","Owl Off","Owl Load"
"91-OWL Counter Clockwise to 19th Avenue & Holloway - Weekday",,,,,,
"West Portal Ave&Ulloa St NW-FS","13","0","15","13","0","15"
"West Portal Ave&14th Ave N-NS/SI","1","0","16","1","0","16"
"Saint Francis Circle NW-NS/SI","1","0","17","1","0","17"
"Ocean Ave & Junipero Serra Blvd SE","0","0","17","0","0","17"
"Ocean Ave&San Leandro Way W-NS/SI","0","0","17","0","0","17"
"Ocean Ave&Aptos Ave W-NS/SI","0","0","17","0","0","17"
"Ocean Ave&Cerritos Ave W-NS","0","0","17","0","0","17"
"Ocean Ave&Victoria St SW-NS","1","0","18","1","0","18"
"Ocean Ave&Jules Ave SW-NS/SI","1","0","19","1","0","19"
"Ocean Ave&Miramar Ave SW-NS/SI","3","0","22","3","0","22"
"Ocean Ave&Lee St SW-NS/SI","6","0","28","6","0","28"
"Ocean Ave&Geneva Ave SW-NS/SI","4","1","31","4","1","31"
"Geneva Ave&Howth St S-FS","0","1","30","0","1","30"
"Geneva Ave&San Jose Ave SW-NS","38","2","66","38","2","66"
"Geneva Ave&Delano Ave W-NS/BZ","0","0","66","0","0","66"
"Geneva & Cayuga S-FS/BZ","1","0","67","1","0","67"
"Geneva Ave&Mission St W-NS/BZ","28","6","89","28","6","89"
"Geneva Ave&Paris St W-NS","2","2","89","2","2","89"
"Geneva Ave&Madrid St S-FS/BZ","0","0","89","0","0","89"
"Geneva Ave&Naples St S-FS/BZ","8","3","94","8","3","94"
"Geneva Ave&Munich St W-NS/BZ","6","4","96","6","4","96"
"1650 Geneva Ave S-MB","0","1","95","0","1","95"
"1750 Geneva Ave S-FS/BZ","1","0","96","1","0","96"
"Geneva Ave&Carter SE-FS/BZ","0","0","96","0","0","96"
"Geneva Ave&Santos St S-FS","6","14","88","6","14","88"
"Santos St&Velasco Ave S-NS","1","4","85","1","4","85"
"Santos St&Brookdale Ave SE-NS","2","1","86","2","1","86"
"Sunnydale Ave&Santos St SE-FS","1","0","87","1","0","87"
"Hahn St&Sunnydale Ave E-FS","2","3","86","2","3","86"
"Hahn St&Visitacion Ave SE-NS","0","0","86","0","0","86"
"Visitacion Ave&Sawyer St SW-NS","2","3","85","2","3","85"
"Visitacion Ave&Britton St W-NS","0","0","85","0","0","85"
"Visitacion Ave&Schwerin St W-NS","3","3","85","3","3","85"
"Visitacion Ave&Cora St W-NS","5","3","87","5","3","87"
"Visitacion Ave&Rutland St W-NS","2","1","88","2","1","88"
"Rutland St&Leland Ave S-NS","2","0","90","2","0","90"
"Rutland St&Arleta Ave NW-NS","2","4","88","2","4","88"
"Arleta Ave&Alpha St W-NS","0","2","86","0","2","86"
"Arleta Ave&Bay Shore Blvd W-NS","8","7","87","8","7","87"
"Bay Shore Blvd&Blanken Ave E-NS","2","3","86","2","3","86"
"Bay Shore Blvd&Hester Ave E-FS","0","0","86","0","0","86"
"Bay Shore Blvd&Hester Ave S-NS","0","0","86","0","0","86"
"3rd St&Key St NE-FS/BZ","5","3","88","5","3","88"
"3rd St&Ingerson Ave E-FS/BZ","1","1","88","1","1","88"
"3rd St&Gilman Ave E-FS/BZ","5","3","90","5","3","90"
"3rd St&Egbert Ave S-NS/BZ","0","0","90","0","0","90"
"3rd St&Carroll Ave S-NS/BZ","0","4","86","0","4","86"
"3rd St&Yosemite Ave E-FS/BZ","0","1","85","0","1","85"
"3rd St&Van Dyke Ave S-NS/BZ","4","2","87","4","2","87"
"3rd St&Thomas Ave S-NS/BZ","2","0","89","2","0","89"
"3rd St&Revere Ave S-NS/BZ","6","3","92","6","3","92"
"3rd St&Palou Ave NE-FS/BZ Cut-out","8","0","100","8","0","100"
"3rd St&Newcomb Ave S-NS/BZ","2","2","100","2","2","100"
"3rd St&La Salle Ave S-NS/BZ","3","5","98","3","5","98"
"3rd St&Jerrold Ave NE-FS/BZ","0","0","98","0","0","98"
"3rd St&Hudson Ave S-NS/BZ","3","1","100","3","1","100"
"Evans Ave&3rd St S-FS","1","1","100","1","1","100"
"US Post Office E-FS","3","1","102","3","1","102"
"Mendell St&Newhall St NE-FS","0","0","102","0","0","102"
"Mendell St&Cargo Way S-NS","0","0","102","0","0","102"
"Cargo Way&3rd St NE-NS","2","0","104","2","0","104"
"3rd St&Cesar Chavez St NE-FS/BZ","3","5","102","3","5","102"
"3rd St&25th St NE-FS/BZ","0","0","102","0","0","102"
"3rd St&23rd St NE-FS/BZ","0","4","98","0","4","98"
"3rd St&22nd St NE-FS/BZ","6","2","102","6","2","102"
"3rd St&20th St NE-FS/BZ","1","6","97","1","6","97"
"3rd St&18th St NE-FS/BZ","0","1","96","0","1","96"
"3rd St&16th St NW-FS","0","1","95","0","1","95"
"3rd St&1731 St E-MB","0","0","95","0","0","95"
"4th St&3rd St N-FS/BZ","2","0","97","2","0","97"
"China Basin NE-MB","0","0","97","0","0","97"
"4th St & Townsend St E-MB/BZ","3","4","96","3","4","96"
"3rd St&Brannan St E-MB/BB","4","1","99","4","1","99"
"3rd St&Perry St E-NS/BZ","0","1","98","0","1","98"
"3rd St&Folsom St N-FS/BZ","1","1","98","1","1","98"
"3rd St&Howard St E-NS/BZ","0","1","97","0","1","97"
"3rd St&Market St NE-MB/BZ","20","33","84","20","33","84"
"Kearny St&Geary Blvd NE-FS/BZ","7","7","84","7","7","84"
"Sutter St&Kearny St NW-FS/BZ","4","4","84","4","4","84"
"Stockton St&Sutter St NE-FS/BB","4","8","80","4","8","80"
"Stockton St&Clay St E-MB/BB","1","4","77","1","4","77"
"Stockton St&Pacific Ave E-MB/BB","3","7","73","3","7","73"
"Stockton St&Columbus Ave SE-NS/BZ","3","9","67","3","9","67"
"Columbus Ave&Union St NE-FS/BZ","0","3","64","0","3","64"
"Columbus Ave&Mason St E-NS/BZ","0","3","61","0","3","61"
"Columbus Ave&Chestnut St SE-NS","0","5","56","0","5","56"
"Columbus Ave&Francisco St N-FS","0","0","56","0","0","56"
"Columbus Ave&North Point St E-MB","2","7","51","2","7","51"
"North Point St&Hyde St NE-NS/BZ","1","1","51","1","1","51"
"North Point St&Larkin St NE-NS/BZ","0","0","51","0","0","51"
"North Point St&Polk St NW-FS/BZ","0","0","51","0","0","51"
"Van Ness Ave&North Point St SW-FS","1","1","51","1","1","51"
"Van Ness Ave&Chestnut St NW-NS/BZ","0","2","49","0","2","49"
"Lombard St&Laguna St NE-NS","0","2","47","0","2","47"
"Lombard St&Fillmore St NE-NS/BZ","2","4","45","2","4","45"
"Lombard St&Pierce St NE-NS/BZ","3","2","46","3","2","46"
"Lombard St&Divisadero St NW-FS/BZ","3","2","47","3","2","47"
"Richardson Ave&Francisco St SE-NS","0","2","45","0","2","45"
"Park Presidio&California SW-FS","1","3","43","1","3","43"
"Park Presidio&Geary Blvd SW-FS","7","2","48","7","2","48"
"Park Presidio Blvd&Balboa St SW-FS","1","1","48","1","1","48"
"Park Presidio Blvd&Fulton St NW-NS","0","0","48","0","0","48"
"19th Ave&Lincoln Way SW-FS/BZ","0","0","48","0","0","48"
"19th Ave&Irving St NW-NS/BZ","1","1","48","1","1","48"
"19th Ave&Judah St SW-FS/BZ","5","2","51","5","2","51"
"19th Ave&Kirkham St NW-NS/BZ","1","0","52","1","0","52"
"19th Ave&Lawton St SW-FS/BZ","0","1","51","0","1","51"
"19th Ave&Moraga St NW-NS/BZ","0","0","51","0","0","51"
"19th Ave&Noriega St SW-FS/BZ","0","2","49","0","2","49"
"19th Ave&Ortega St SW-FS/BZ","0","3","46","0","3","46"
"19th Ave&Pacheco St SW-FS/BZ","0","0","46","0","0","46"
"19th Ave&Quintara St SW-FS/BZ","0","1","45","0","1","45"
"19th Ave&Rivera St SW-FS/BZ","0","1","44","0","1","44"
"19th Ave&Santiago St NW-NS/BZ","0","0","44","0","0","44"
"19th Ave&Taraval St NW-NS/BZ","3","6","41","3","6","41"
"19th Ave&Ulloa St NW-NS/BZ","0","1","40","0","1","40"
"19th Ave&Vicente St SW-FS/BZ","0","0","40","0","0","40"
"19th Ave&Wawona St NW-NS/BZ","0","0","40","0","0","40"
"19th Ave&Sloat Blvd SW-FS/BZ","0","2","38","0","2","38"
"19th Ave&Ocean Ave NW-NS","0","0","38","0","0","38"
"19th Ave&Eucalyptus Dr NW-NS-BZ","0","0","38","0","0","38"
"19th Ave&Winston Dr NW-NS/SI","0","8","30","0","8","30"
"19th Ave&Holloway Ave NW-NS/SI","0","0","30","0","0","30"
"19th Ave&Holloway Ave NE-FS/SI","0","30","0","0","30","0"
"Total Passenger Boardings ","290","292",,"290","292",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,

