"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Night On","Night Off","Night Load"
"4th St&Market St S-FS/BZ","656","1879","1595","167","334","450","182","667","425","89","330","212","161","386","346","34","101","97","23","61","65"
"4th St&Mission St S-FS/BZ","156","147","1604","31","29","452","45","58","412","27","23","216","36","24","358","12","9","100","5","4","66"
"4th St&Howard St S-FS/BZ","89","218","1475","12","40","424","24","83","353","16","38","194","30","51","337","5","3","102","2","3","65"
"4th St&Folsom St S-FS/BZ","97","264","1308","18","55","387","47","93","307","11","47","158","16","46","307","3","15","90","2","8","59"
"4th St&Brannan St N-NS/SI","17","273","1052","2","109","280","7","73","241","5","29","134","3","40","270","0","13","77","0","9","50"
"Townsend & 4th E","0","961","91","0","258","22","0","233","8","0","131","3","0","254","16","0","47","30","0","38","12"
"Total Passenger Boardings ","6102","6416",,"1207","1238",,"2060","2209",,"968","1071",,"1232","1309",,"401","368",,"234","221",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Night On","Night Off","Night Load"
"45-Union-Stockton to Lyon the Presidio Weekday",,,,,,,,,,,,,,,,,,,,,
"Townsend & 4th E","756","0","1547","164","0","315","200","0","529","88","0","210","217","0","367","68","0","95","19","0","31"
"3rd St&Brannan St E-MB/BB","302","9","1840","24","2","337","50","2","577","51","0","261","113","3","477","39","1","133","25","1","55"
"3rd St&Perry St E-NS/BZ","181","35","1986","41","3","375","61","6","632","22","8","275","43","12","508","10","3","140","4","3","56"
"3rd St&Folsom St N-FS/BZ","192","24","2154","29","8","396","69","10","691","27","1","301","46","5","549","15","0","155","6","0","62"
"3rd St&Howard St E-NS/BZ","172","72","2254","27","18","405","58","21","728","28","9","320","46","17","578","11","4","162","2","3","61"
"3rd St&Market St NE-MB/BZ","1062","502","2814","162","78","489","395","128","995","178","73","425","194","161","611","93","44","211","40","18","83"
"Kearny St&Geary Blvd NE-FS/BZ","586","100","3300","87","17","559","184","25","1154","90","14","501","143","31","723","61","8","264","21","5","99"
"Sutter St&Kearny St NW-FS/BZ","300","104","3496","19","23","555","84","25","1213","40","13","528","90","34","779","54","7","311","13","2","110"
"Stockton St&Sutter St NE-FS/BB","415","101","3810","32","14","573","120","21","1312","66","22","572","104","30","853","64","11","364","29","3","136"
"Stockton St&Clay St E-MB/BB","372","1058","3124","58","196","435","137","462","987","77","163","486","69","182","740","29","41","352","2","14","124"
"Stockton St&Pacific Ave E-MB/BB","354","1159","2319","67","169","333","143","516","614","64","203","347","72","202","610","8","46","314","0","23","101"
"Stockton St&Columbus Ave SE-NS/BZ","322","592","2049","42","66","309","117","181","550","60","102","305","65","129","546","30","72","272","8","42","67"
"Union St&Columbus Ave  NE-NS/BZ","406","301","2154","52","56","305","144","97","597","65","51","319","86","59","573","47","25","294","12","13","66"
"Union St&Mason St NE-NS/BZ","77","102","2129","23","8","320","20","36","581","5","19","305","16","29","560","8","8","294","5","2","69"
"Union St&Taylor St NE-NS","26","234","1921","8","43","285","11","103","489","4","40","269","1","40","521","1","6","289","1","2","68"
"Union St&Jones St NE-NS/BZ","24","119","1826","7","21","271","7","47","449","5","14","260","3","25","499","2","8","283","0","4","64"
"Union St&Leavenworth St NW-FS","26","103","1749","1","6","266","9","22","436","7","21","246","6","34","471","3","17","269","0","3","61"
"Union St&Hyde St NE-NS","29","166","1612","5","9","262","11","43","404","0","30","216","7","51","427","5","30","244","1","3","59"
"Union St&Larkin St NE-NS/BZ","26","101","1537","3","2","263","12","30","386","7","16","207","3","33","397","1","16","229","0","4","55"
"Union St&Polk St NW-FS/BZ","60","290","1307","5","63","205","21","63","344","11","35","183","15","71","341","5","48","186","3","10","48"
"Union St&Van Ness Ave NW-FS/BZ","171","228","1250","29","35","199","62","56","350","40","30","193","30","65","306","7","32","161","3","10","41"
"Union St&Gough St NE-NS/BZ","30","119","1161","9","13","195","5","26","329","5","15","183","10","42","274","1","21","141","0","2","39"
"Union St&Laguna St NE-NS/BZ","18","185","994","2","22","175","10","57","282","3","28","158","1","48","227","1","27","115","1","3","37"
"Union St&Buchanan St NE-NS/BZ","12","138","868","2","17","160","3","41","244","1","23","136","5","36","196","1","12","104","0","9","28"
"Union St&Fillmore St NW-FS/BZ","53","390","531","10","85","85","20","109","155","11","60","87","4","80","120","8","47","65","0","9","19"
"Union St&Steiner St *-MI","3","2","542","2","0","94","0","0","156","0","0","87","0","1","119","1","1","65","0","0","21"
"Union St&Pierce St NE-NS/BZ","4","76","470","2","5","91","0","22","134","0","13","74","0","24","95","1","11","55","1","1","21"
"Union St&Divisadero St NE-NS/BZ","2","72","400","0","11","80","0","20","114","0","12","62","0","17","78","1","7","49","1","5","17"
"Union St&Baker St NE-NS","1","34","367","1","8","73","0","8","106","0","4","58","0","8","70","0","6","43","0","0","17"
"Baker St&Greenwich St SE-NS","2","56","313","0","3","70","1","24","83","0","9","49","0","13","57","0","6","37","1","1","17"
"Lyon St&Greenwich St SW-FS/BZ","0","287","26","0","68","2","0","80","3","0","47","2","0","54","3","0","24","13","0","14","3"
"Total Passenger Boardings ","5984","6759",,"913","1069",,"1954","2281",,"955","1075",,"1389","1536",,"575","589",,"198","209",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,

