"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Night On","Night Off","Night Load"
"Chestnut St&Franklin St NW-FS/BZ","41","50","2002","4","0","402","16","10","525","7","2","295","9","20","416","4","15","263","1","3","101"
"Chestnut St&Gough St NW-FS/BZ","25","50","1977","7","4","405","8","10","523","6","9","292","4","13","407","0","11","252","0","3","98"
"Chestnut St&Octavia St NW-FS/BZ","18","53","1942","5","4","406","5","14","514","4","5","291","4","16","395","0","12","240","0","2","96"
"Chestnut St&Laguna St NW-FS/BZ","56","369","1629","8","31","383","24","148","390","10","71","230","7","77","325","6","29","217","1","13","84"
"Chestnut St&Buchanan St NE-NS","2","45","1586","0","1","382","1","7","384","0","6","224","0","19","306","1","10","208","0","2","82"
"Chestnut St&Webster St NE-NS/BZ","12","93","1505","0","17","365","8","23","369","1","17","208","3","23","286","0","8","200","0","5","77"
"Chestnut St&Fillmore St NE-NS/BZ","52","514","1053","12","214","167","18","94","293","9","53","164","11","80","217","1","54","147","1","19","65"
"Chestnut St&Mallorca Way NW-FS/BZ","27","206","874","10","60","117","3","47","249","1","23","142","4","41","180","1","23","125","8","12","61"
"Chestnut St&Pierce St NW-FS/BZ","18","175","717","1","17","101","9","42","216","3","29","116","2","47","135","2","32","95","1","8","54"
"Chestnut St&Scott St NE-NS/BZ","14","131","600","1","23","79","6","32","190","4","22","98","1","30","106","2","19","78","0","5","49"
"Chestnut St&Divisadero St NE-NS","13","118","495","3","10","72","3","24","169","4","23","79","2","28","80","0","19","59","1","14","36"
"Chestnut St&Broderick St NE-NS/BZ","6","72","429","1","11","62","2","14","157","1","10","70","1","13","68","0","16","43","1","8","29"
"Broderick St&Francisco St SE-NS","1","24","406","0","4","58","0","6","151","0","3","67","0","7","61","0","2","41","1","2","28"
"Broderick St&Bay St SE-NS","1","13","394","0","3","55","1","3","149","0","5","62","0","2","59","0","0","41","0","0","28"
"Broderick St&North Point St SE-NS","0","49","345","0","13","42","0","13","136","0","5","57","0","8","51","0","7","34","0","3","25"
"Broderick St&Beach St SE-NS","0","0","345","0","0","42","0","0","136","0","0","57","0","0","51","0","0","34","0","0","25"
"Broderick St&Beach St NE-FS","0","306","39","0","40","2","0","136","0","0","45","12","0","49","2","0","22","12","0","14","11"
"Total Passenger Boardings ","10995","12444",,"1705","2197",,"4064","4679",,"1739","1857",,"2325","2510",,"819","844",,"343","357",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,

