"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"Geary Blvd&Arguello Blvd SE-FS/BZ","476","298","5779","90","73","984","85","75","1543","130","58","1090","91","62","1119","43","20","542","37","10","501"
"Geary Blvd&Stanyan St SW-NS/BZ","126","58","5847","12","3","993","24","13","1554","29","19","1100","27","18","1128","21","4","559","13","1","513"
"Geary Blvd&Spruce St SW-NS/BZ","212","157","5902","43","14","1022","60","44","1570","39","50","1089","31","33","1126","17","13","563","22","3","532"
"Geary Blvd&Collins St SE-FS/BZ","160","91","5971","25","9","1038","44","28","1586","28","16","1101","28","21","1133","18","9","572","17","8","541"
"Geary Blvd&Masonic Ave SW-NS/BZ","229","369","5831","19","63","994","52","94","1544","43","75","1069","62","78","1117","38","37","573","15","22","534"
"Geary Blvd&Presidio Ave SW-NS/BZ","615","216","6230","69","28","1035","175","75","1644","149","63","1155","136","35","1218","61","10","624","25","5","554"
"Geary Blvd&St Joseph's Ave SE-FS","163","108","6285","26","16","1045","38","27","1655","26","27","1154","35","26","1227","24","4","644","14","8","560"
"Geary Blvd&Divisadero St SW-NS/BZ","1100","648","6737","164","145","1064","335","173","1817","242","131","1265","230","118","1339","79","53","670","50","28","582"
"Geary Blvd&Fillmore St S-MB/BZ","811","913","6635","112","91","1085","232","270","1779","158","207","1216","163","209","1293","89","97","662","57","39","600"
"Geary Blvd&Webster St SW-NS/BZ","744","325","7054","69","37","1117","239","108","1910","154","76","1294","157","67","1383","73","21","714","52","16","636"
"Starr King Way&Gough St SE-FS/BZ","75","231","6898","10","46","1081","28","55","1883","13","47","1260","9","52","1340","15","20","709","0","11","625"
"O'Farrell St&Van Ness Ave SW-NS","573","1396","6075","94","267","908","117","371","1629","143","259","1144","130","276","1194","57","127","639","32","96","561"
"O'Farrell St&Larkin St SW-NS/BZ","394","444","6025","71","44","935","118","90","1657","77","80","1141","72","101","1165","29","73","595","27","56","532"
"O'Farrell St&Hyde St SE-FS/BZ","340","385","5980","102","33","1004","92","73","1676","57","97","1101","50","87","1128","27","49","573","12","46","498"
"O'Farrell St&Leavenworth St SE-NS","228","460","5748","67","31","1040","61","68","1669","32","99","1034","42","116","1054","13","81","505","13","65","446"
"O'Farrell St&Taylor St S-MB/BB","342","580","5510","90","65","1065","101","168","1602","54","120","968","49","113","990","21","72","454","27","42","431"
"O'Farrell St&Powell St SW-NS/BZ","148","1987","3671","16","244","837","43","586","1059","37","402","603","33","437","586","13","204","263","6","114","323"
"O'Farrell St&Grant Ave S-MB/BB","99","857","2913","10","152","695","34","253","840","22","163","462","21","171","436","8","68","203","4","50","277"
"Market St&3rd St E-FS/BZ","61","1578","1396","8","337","366","16","500","356","10","264","208","15","221","230","9","124","88","3","132","148"
"Market St&1st St S-NS/BZ","44","638","802","2","219","149","10","193","173","7","72","143","17","67","180","4","16","76","4","71","81"
"Trans Bay Terminal E-NS/SI","1","750","53","0","138","11","0","159","14","0","135","8","1","170","11","0","71","5","0","77","4"
"Total Passenger Boardings ","15148","15168",,"2448","2456",,"4230","4240",,"3115","3124",,"3027","3025",,"1349","1347",,"979","976",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,

