,,,,,,,,,,,,,,,,,,,,,,"Passenger Activity Report"
,"SF MTA",,,,,,,,,,,,,,,,,,,,,"Weekday"
,"N - Judah - Two Cars",,,,,,,,,,,,,,,,,,,,,"Inbound"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Daily Total",,,"AM Peak",,,"Midday",,,"School",,,"PM Peak",,,"Evening",,,"Night",,
,"Stop","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load","On","Off","Load"
,"Sunset Tunnel East Portal NE-NS/SI","429","769","12605","93","65","1507","71","109","2031","81","122","1932","110","331","4584","56","113","2022","18","29","529"
,"Carl St&Cole St NE-NS","354","2009","10950","23","88","1442","62","254","1839","78","305","1705","99","919","3764","77","387","1712","15","56","488"
,"Carl St&Stanyan St NE-NS","121","587","10484","16","20","1438","23","96","1766","14","118","1601","46","232","3578","19","113","1618","3","8","483"
,"Carl St&Hillway Ave NE-MB","92","375","10201","11","78","1371","24","120","1670","43","51","1593","9","90","3497","5","27","1596","0","9","474"
,"Irving St&02nd Ave NE-NS","427","1614","9014","26","749","648","99","345","1424","85","142","1536","150","222","3425","55","82","1569","12","74","412"
,"Irving St&4th Ave NE-NS","70","332","8752","9","38","619","8","46","1386","11","60","1487","31","107","3349","9","63","1515","2","18","396"
,"Irving St&7th Ave NE-NS","97","525","8324","9","31","597","12","85","1313","32","86","1433","32","217","3164","12","93","1434","0","13","383"
,"Irving St&9th Ave NE-NS","390","1050","7664","31","107","521","102","184","1231","74","211","1296","101","359","2906","73","161","1346","9","28","364"
,"Judah St&9th Ave NW-FS/SI","631","671","7624","110","32","599","138","97","1272","112","109","1299","180","260","2826","73","125","1294","18","48","334"
,"Judah St&12th Ave NE-NS/SI","69","219","7474","11","12","598","11","32","1251","13","42","1270","14","86","2754","13","44","1263","7","3","338"
,"Judah St&Funston Ave NE-NS","56","214","7316","4","12","590","20","21","1250","16","34","1252","15","108","2661","1","35","1229","0","4","334"
,"Judah St&16th Ave N-MI/SI","47","407","6956","8","21","577","13","93","1170","11","51","1212","8","167","2502","3","66","1166","4","9","329"
,"Judah St&19th Ave NE-NS/SI","339","1362","5933","42","149","470","64","214","1020","113","242","1083","87","440","2149","25","247","944","8","70","267"
,"Judah St&23rd Ave NE-NS/SI","201","766","5368","8","68","410","80","176","924","56","137","1002","46","270","1925","9","86","867","2","29","240"
,"Judah St&25th Ave NE-NS/SI","194","517","5045","18","43","385","71","115","880","50","102","950","45","166","1804","10","71","806","0","20","220"
,"Judah St&28th Ave NE-NS/SI","69","490","4624","11","32","364","15","60","835","16","126","840","18","185","1637","8","71","743","1","16","205"
