"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"Market St&Larkin St N-NS/SI","135","247","2458","10","27","168","44","91","648","15","58","412","46","38","741","14","20","301","6","13","188"
"Market St&Van Ness Ave N-NS/SI","295","658","2095","27","68","127","96","216","528","58","131","339","67","154","654","34","45","290","13","44","157"
"Market St&Gough St N-NS/SI","90","294","1891","2","15","114","32","97","463","11","27","323","30","93","591","9","45","254","6","17","146"
"Market St&Laguna St N-NS/SI","79","285","1685","17","14","117","26","76","413","9","45","287","19","102","508","8","33","229","0","15","131"
"Market St&Buchanan St N-NS/SI","19","213","1491","2","21","98","3","55","361","3","42","248","7","59","456","4","27","206","0","9","122"
"Market St&Church St N-NS/SI","73","495","1069","4","25","77","21","122","260","7","67","188","22","166","312","17","68","155","2","47","77"
"Market St&Sanchez St N-NS/SI","9","185","893","0","24","53","1","34","227","1","54","135","4","43","273","3","28","130","0","2","75"
"Market St&Noe St N-NS/SI","6","286","613","0","20","33","1","60","168","0","40","95","5","105","173","0","44","86","0","17","58"
"17th St&Noe St *-MI","0","67","26","0","3","0","0","2","0",,,,"0","33","18","0","2","7","0","27","1"
"17th St&Castro St NE-NS/SI","0","520","0","0","30","0","0","166","0","0","95","0","0","122","0","0","77","0","0","30","0"
"17th St&Church St *-MI","0","19","7",,,,,,,,,,"0","14","4","0","5","2","0","0","1"
"Church St&18th St NW-NS/SI","5","0","12",,,,,,,,,,"5","0","9","0","0","2","0","0","1"
"Right Of Way&20th St NW-NS","0","1","11",,,,,,,,,,"0","1","8","0","0","2","0","0","1"
"Right Of Way&Liberty St NW-NS","0","0","11",,,,,,,,,,"0","0","8","0","0","2","0","0","1"
"Right Of Way&21st St NW-NS","0","0","11",,,,,,,,,,"0","0","8","0","0","2","0","0","1"
"Right Of Way&22nd St NW-NS","0","0","11",,,,,,,,,,"0","0","8","0","0","2","0","0","1"
"Church St&24th St NW-NS/SI","0","4","7",,,,,,,,,,"0","4","4","0","0","2","0","0","1"
"Church St&Clipper St NW-NS","0","0","7",,,,,,,,,,"0","0","4","0","0","2","0","0","1"
"Church St&27th St NW-NS","0","0","7",,,,,,,,,,"0","0","4","0","0","2","0","0","1"
"Church St&Day St-FS","0","0","7",,,,,,,,,,"0","0","4","0","0","2","0","0","1"
"Church St&30th St NE-FS","0","0","7",,,,,,,,,,"0","0","4","0","0","2","0","0","1"
"30th St&Dolores St SW-NS/BZ","0","1","6",,,,,,,,,,"0","0","4","0","0","2","0","1","0"
"San Jose Ave&Randall St W-FS/SI","0","0","6",,,,,,,,,,"0","0","4","0","0","2","0","0","0"
"Glen Park Station W-FS/SI","0","0","6",,,,,,,,,,"0","0","4","0","0","2","0","0","0"
"San Jose Ave&Santa Rosa Ave N-NS/SI","0","0","6",,,,,,,,,,"0","0","4","0","0","2","0","0","0"
"San Jose Ave&Santa Ynez Ave-NS","0","0","6",,,,,,,,,,"0","0","4","0","0","2","0","0","0"
"San Jose Ave&Ocean Ave NW-NS/SI","0","0","6",,,,,,,,,,"0","0","4","0","0","2","0","0","0"
"San Jose Ave&Geneva Ave W-FS/BZ","0","6","0",,,,,,,,,,"0","4","0","0","2","0","0","0","0"
"Total Passenger Boardings ","8741","8741",,"677","677",,"2439","2439",,"1354","1354",,"2676","2676",,"1161","1161",,"434","434",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,

